lat,lon,flood_heig,elevation,precipitat,distance_to_river_deg,distance_to_river_m
14.53578852,121.0605348,0,6.42844057083,9.0,0.001094962324876975,121.54081806134423
14.53582747,121.0605133,0,6.42844057083,9.0,0.001137448364987637,126.2567685136277
14.53721911,121.0598884,0,6.58452749252,9.0,0.002581635902310626,286.5615851564795
14.6576251,120.9734032,0,14.0308008194,9.0,0.004042996007916456,448.7725568787266
14.58231807,120.9844861,0,10.0827713013,8.0,0.0038363099843411793,425.8304082618709
14.57782852,121.032579,0,5.64391040802,8.0,0.0017501475733184763,194.26638063835088
14.59991824,120.999249,0,7.40075302124,8.0,2.8878632462914154e-07,0.03205528203383471
14.60009993,120.9989969,0,7.40075302124,8.0,9.627896488135991e-05,10.68696510183095
14.57829454,121.0346863,0,9.66927433014,8.0,0.001748733469571452,194.10941512243116
14.57813879,121.0326586,0,5.64391040802,8.0,0.0019466751937801399,216.08094650959552
14.57783631,121.033153,0,6.82900381088,8.0,0.0014400481763106028,159.84534757047692
14.57792457,121.0336089,0,6.82900381088,8.0,0.0014074147053720685,156.2230322962996
14.37034167,121.0542343,0,9.44065380096,11.0,0.030293953362989307,3362.628823291813
14.60051912,120.9966741,0,7.57638406754,8.0,0.0010664029184206869,118.37072394469624
14.657755,120.9485029,0,6.06325435638,9.0,0.0010012205242429359,111.13547819096588
14.69149523,121.123108,0,17.1396636963,16.0,0.02700169056835703,2997.18765308763
14.63501272,121.0067593,0,15.3296909332,8.0,0.002074766033245771,230.2990296902806
14.70836282,120.9384916,0,2.56843996048,10.0,0.011168587914702634,1239.7132585319923
14.70822792,120.9382234,0,2.56843996048,9.0,0.010926799213968464,1212.8747127504994
14.7080982,120.9379659,0,2.56843996048,9.0,0.010646886704566025,1181.8044242068288
14.61926146,120.9654923,0,6.74146175385,8.0,0.002402267004654234,266.65163751662
14.61699829,120.975041,0,7.33788633347,8.0,0.0028685293110057423,318.40675352163737
14.53430285,120.9982596,0,7.59381866455,7.0,0.0011278881697483647,125.19558684206848
14.53429506,120.9982649,0,7.59381866455,7.0,0.0011212683872639923,124.46079098630314
14.75409159,120.9463342,0,5.65578079224,11.0,0.05324306092519167,5909.979762696275
14.70891599,120.9436068,0,3.20402264595,10.0,0.014586754611414069,1619.1297618669616
14.56513322,121.0035934,0,6.82370185852,7.0,0.0002706884613694591,30.046419212009962
14.45942061,120.9596904,0,6.3101773262,6.0,0.003914168897752441,434.47274765052094
14.45927387,120.9595965,0,6.49346590042,6.0,0.0040839163584615494,453.31471578923197
14.56089139,121.0134338,0,22.4231185913,7.0,0.001183871290897761,131.40971328965145
14.58104628,121.0331373,0,10.9345254898,8.0,0.004489634787872254,498.34946145382014
14.55686701,121.0056237,0,7.75305461884,7.0,0.0024345112192875177,270.23074534091444
14.5627268,120.9951814,0,9.29846954346,7.0,0.0006533171741278748,72.51820632819411
14.56272161,120.9953074,0,9.29846954346,7.0,0.0007638799055514673,84.79066951621287
14.73533959,120.9492002,0,5.21255731583,10.0,0.03724511236116781,4134.207472089627
14.73513985,120.9494014,0,5.23551034927,10.0,0.03702064949406496,4109.292093841211
14.70823066,120.9437285,0,3.1090657711,10.0,0.014113064900640298,1566.5502039710732
14.71087685,120.9440289,0,3.35215806961,10.0,0.016064277310613002,1783.1347814780434
14.71123745,120.9416203,0,3.23195266724,10.0,0.015230285142190733,1690.5616507831714
14.43296249,120.9851779,0,17.18009758,7.0,0.0003879856648084366,43.06640879373646
14.46478906,120.9842004,0,9.6499376297,6.0,0.00016103555831410455,17.874946972865605
14.56681532,121.133025,0,14.0864591599,14.0,0.03289145188161805,3650.9511588596038
14.67749104,120.9621929,0,4.97637224197,9.0,0.0027202001608700684,301.9422178565776
14.67623521,120.9628902,0,5.71749019623,9.0,0.0017067314900883854,189.4471953998108
14.67671263,120.9629439,0,5.5337305069,9.0,0.0017853207117088737,198.17059899968498
14.65398715,120.9889908,0,24.5386276245,9.0,0.010222307248487833,1134.6761045821495
14.6863504,121.0897453,0,89.5149230957,14.0,0.001971611969943229,218.84892866369842
14.56686205,121.1329231,0,14.0864591599,14.0,0.03278258341425568,3638.866758982381
14.56655592,121.1344121,0,14.8742246628,15.0,0.034302583765001685,3807.586797915187
14.72120554,121.1362759,0,19.222492218,16.0,0.04430987473002083,4918.396095032312
14.63252409,121.1226183,0,20.3677806854,15.0,0.02079316529915748,2308.04134820648
14.63300818,121.0168341,0,15.4814777374,8.0,4.8895282600900064e-05,5.427376368699907
14.71535897,120.9523292,0,4.63814544678,10.0,0.017030850875540984,1890.424447185049
14.71536935,120.9523399,0,4.63814544678,10.0,0.017040008016795897,1891.4408898643446
14.72185927,121.1307708,0,16.0416965485,16.0,0.039929780501485865,4432.205635664931
14.64499803,120.9570323,0,5.5766749382,9.0,0.0015554266442977496,172.6523575170502
14.63449554,121.0091986,0,12.5449790955,8.0,0.0003129734635582414,34.7400544549648
14.63785157,120.9738413,0,7.25189399719,8.0,0.00088131596200889,97.82607178298679
